,Word,hits,misses,correct.rejections,false.alarms,word.x,pos,wn_num_meanings,wn_num_synonyms,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,meanings,meanings_n,num_synonyms,syn_n,arousal,concrete,fam,image,valence,X,word.y,mean.cor,num_syn,r.given.w,w.given.r,Acc,freq,M,false.alarm.rate,hit.rate,GloVe distinctiveness
446,CRACKERS,55,14,64,9,crackers,n,6,33,289,171,214,159,5.67,2.4624,2.04,2.2355,2.14285714285714,28,1.8333333333333302,24,2.16,4.7407407407407405,4.96551724137931,4.93333333333333,3.46428571428571,833,crackers,0.0359037540445959,2.8333333333333304,0.4666666666666673,0.35294117647058865,0.8380281690140845,5.0751738152338275,-6.1166276900619865,0.1232876712328767,0.7971014492753623,0.09806682552894831
447,CRAFTY,55,24,76,11,crafty,s,1,11,53,46,50,43,1.04,1.7324,0.55,1.6721,1.89655172413793,29,3.0,27,3.5,2.1111111111111103,4.68965517241379,2.46428571428571,3.6785714285714306,478,crafty,-0.0624167484134709,4.0,0.5272727272727276,0.25,0.7891566265060241,3.7841896339182615,-5.170483995038151,0.1264367816091954,0.6962025316455697,0.12305138138749139
448,CRAPPY,72,15,86,13,crappy,s,1,7,253,219,237,211,4.96,2.4048,2.61,2.3424,1.85185185185185,27,3.91304347826087,23,3.0952380952381002,1.61538461538462,4.8148148148148096,2.03846153846154,1.5,373,crappy,-0.0916577934927309,4.91304347826087,0.5400000000000005,0.20353982300884954,0.8494623655913979,5.356586274672011,-6.948479877455204,0.13131313131313133,0.8275862068965517,0.13392640744068707
449,CRASS,55,32,90,4,crass,s,1,1,36,32,35,32,0.71,1.5682,0.38,1.5185,1.26923076923077,26,3.12,25,3.3636363636363598,1.52,4.24137931034483,1.8620689655172398,2.0714285714285703,608,crass,-0.0245806566002838,4.12,0.7878787878787874,0.2427184466019417,0.8011049723756906,3.49650756146648,-4.912360724827916,0.0425531914893617,0.632183908045977,0.1345365532879373
450,CRATER,51,23,70,7,crater,n,3,4,132,62,95,57,2.59,2.1239,0.74,1.7993,1.55172413793103,29,1.72727272727273,22,3.5416666666666696,4.46153846153846,4.64285714285714,4.46428571428571,2.6296296296296298,982,crater,0.0728792431293049,2.7272727272727297,0.6444444444444463,0.3666666666666663,0.8013245033112583,4.060443010546419,-5.063745119410205,0.09090909090909093,0.6891891891891891,0.08065454421095486
451,CRATES,48,30,73,11,crates,n,3,4,95,66,92,63,1.86,1.9823,0.79,1.8261,1.4074074074074099,27,2.1052631578947403,19,2.18181818181818,4.72,4.63333333333333,4.56521739130435,2.96551724137931,874,crates,0.0443234998626923,3.1052631578947403,0.7105263157894723,0.32203389830508444,0.7469135802469136,4.158883083359672,-5.291981548098951,0.13095238095238096,0.6153846153846154,0.09408264516140695
452,CRAWLEY,44,21,71,3,crawley,,0,0,30,7,0,0,0.59,1.4914,0.08,0.9031,1.06666666666667,15,0.916666666666667,12,3.2083333333333304,2.57692307692308,2.22222222222222,2.0714285714285703,2.6666666666666696,851,crawley,0.0389908126093048,1.916666666666667,0.9374999999999972,0.5217391304347825,0.8273381294964028,0.0,-0.6505875661411497,0.040540540540540536,0.676923076923077,0.050950486164819994
453,CRAZIEST,49,35,87,3,craziest,s,5,18,118,111,113,107,2.31,2.0755,1.32,2.0492,1.44444444444444,27,3.4782608695652204,23,4.545454545454549,1.5,4.77777777777778,2.40740740740741,2.1923076923076903,483,craziest,-0.0609567908705684,4.4782608695652195,0.6923076923076944,0.22330097087378625,0.7816091954022989,4.68213122712422,-6.181365999424707,0.03333333333333333,0.5833333333333334,0.09713396253324395
454,CREAK,49,33,81,8,creak,n,2,8,26,21,21,18,0.51,1.4314,0.25,1.3424,1.27586206896552,29,1.8181818181818201,22,3.1666666666666696,3.11538461538462,4.57142857142857,2.35714285714286,2.22222222222222,144,creak,-0.19570712939692497,2.81818181818182,0.7837837837837821,0.3548387096774191,0.7602339181286549,2.9444389791664403,-3.9805309108532168,0.0898876404494382,0.5975609756097561,0.09664524455521936
455,CREATIONS,50,26,70,12,creations,n,6,21,39,38,39,38,0.76,1.6021,0.45,1.5911,1.35714285714286,28,2.1111111111111103,27,3.5217391304347796,2.44827586206897,4.851851851851849,2.64,4.03448275862069,1340,creations,0.16773549082488598,3.11111111111111,0.7368421052631563,0.3214285714285716,0.7594936708860759,3.6635616461296463,-4.798541578968631,0.14634146341463414,0.6578947368421053,0.10170389528431667
456,CREATIVE,63,22,74,21,creative,a,2,3,548,412,500,388,10.75,2.7396,4.91,2.616,1.7,30,3.04347826086957,23,4.125,1.7307692307692302,4.77777777777778,2.03571428571429,4.53846153846154,2004,creative,0.39298022559788703,4.04347826086957,0.5882352941176471,0.24731182795698894,0.7611111111111111,5.963579343618447,-7.3606846208425525,0.22105263157894736,0.7411764705882353,0.10895140825757936
457,CREDENTIALS,57,16,65,12,credentials,n,2,8,166,133,162,132,3.25,2.2227,1.59,2.1271,1.22222222222222,27,2.5,28,2.75,3.40740740740741,4.8,2.46428571428571,3.5714285714285694,1716,credentials,0.27563619354595004,3.5,0.8181818181818196,0.2857142857142857,0.8133333333333334,4.890349128221754,-6.143112096717122,0.15584415584415584,0.7808219178082192,0.08252120610615486
458,CREW,53,28,82,6,crew,n,5,10,2424,1036,2156,931,47.53,3.3847,12.35,3.0158,2.1379310344827602,29,3.1481481481481497,27,2.45454545454545,3.7037037037037,4.55172413793103,3.4137931034482794,3.44827586206897,2019,crew,0.407325186245949,4.1481481481481515,0.4677419354838707,0.24107142857142844,0.7988165680473372,6.83733281468559,-8.259994819976356,0.06818181818181818,0.654320987654321,0.09358633300804561
459,CRIMES,50,36,85,11,crimes,n,2,7,590,426,541,402,11.57,2.7716,5.08,2.6304,1.11111111111111,27,1.7916666666666698,24,4.315789473684211,2.78571428571429,4.96551724137931,2.8,1.31034482758621,1929,crimes,0.3539011806516699,2.7916666666666696,0.9000000000000009,0.3582089552238802,0.7417582417582418,5.998936561946683,-7.025575350989704,0.11458333333333333,0.5813953488372093,0.10863390185448984
460,CRIPPLE,55,17,76,12,cripple,n,3,5,194,146,183,140,3.8,2.29,1.74,2.1673,2.03333333333333,30,3.39130434782609,23,3.0,3.11538461538462,4.55555555555556,3.78571428571429,1.33333333333333,945,cripple,0.0633984042702437,4.39130434782609,0.4918032786885254,0.2277227722772276,0.81875,4.948759890378168,-6.4283861912902776,0.13636363636363635,0.7638888888888888,0.13538535284032024
461,CRONIES,48,27,71,9,cronies,n,1,6,17,16,17,16,0.33,1.2553,0.19,1.2304,1.20833333333333,24,2.8695652173912998,23,3.2083333333333304,3.0,4.24137931034483,2.86666666666667,2.75,1010,cronies,0.0806589114045929,3.8695652173912998,0.827586206896554,0.25842696629213513,0.7677419354838709,2.8332133440562166,-4.186355497859205,0.1125,0.64,0.10806922099579597
462,CROOKS,41,29,73,9,crooks,n,4,13,153,119,140,114,3.0,2.1875,1.42,2.0792,1.53846153846154,26,3.28,25,3.95454545454545,3.26923076923077,4.85714285714286,3.92,1.7931034482758603,623,crooks,-0.0218208138628912,4.2799999999999985,0.6499999999999994,0.2336448598130841,0.75,4.74493212836325,-6.198885137956956,0.1097560975609756,0.5857142857142857,0.12290943042925585
463,CROSSROAD,61,14,57,25,crossroad,n,1,5,9,8,8,8,0.18,1.0,0.1,0.9542,1.5925925925925901,27,1.75862068965517,29,3.6666666666666696,3.60714285714286,4.89655172413793,4.107142857142859,3.1724137931034497,479,crossroad,-0.0622139573823288,2.75862068965517,0.6279069767441872,0.3625000000000003,0.7515923566878981,2.19722457733622,-3.2119553820236266,0.3048780487804878,0.8133333333333334,0.08533112957636448
464,CROSSWALK,64,17,82,11,crosswalk,n,1,3,21,19,21,19,0.41,1.3424,0.23,1.301,1.14814814814815,27,1.0,20,2.2272727272727297,4.34615384615385,4.96428571428571,4.43478260869565,3.20689655172414,265,crosswalk,-0.139003239724046,2.0,0.8709677419354825,0.5,0.8390804597701149,2.9957322735539913,-3.688879454113936,0.11827956989247312,0.7901234567901234,0.06882774452939483
465,CRUDE,47,28,73,12,crude,n,7,23,155,132,141,121,3.04,2.1931,1.57,2.1239,1.84615384615385,26,3.3448275862069,29,3.3333333333333304,2.1481481481481497,4.7,2.39285714285714,2.03448275862069,1983,crude,0.38058313323936,4.3448275862068995,0.5416666666666655,0.23015873015872995,0.75,4.804021044733257,-6.273007121698263,0.1411764705882353,0.6266666666666667,0.10785009396864832
466,CRUSHING,42,26,64,15,crushing,n,10,29,139,119,128,112,2.73,2.1461,1.42,2.0792,1.85714285714286,28,2.1481481481481497,27,4.130434782608701,2.79310344827586,4.703703703703701,3.48,1.7857142857142903,1846,crushing,0.323357901510297,3.1481481481481497,0.5384615384615377,0.3176470588235292,0.7210884353741497,4.727387818712341,-5.8742022091983275,0.18987341772151897,0.6176470588235294,0.12685266956788732
467,CRUTCHES,54,29,72,17,crutches,n,2,2,83,62,75,59,1.63,1.9243,0.74,1.7993,1.8148148148148102,27,1.27272727272727,22,2.59090909090909,4.56,4.8148148148148096,4.77777777777778,1.88,1062,crutches,0.0909805451922909,2.2727272727272703,0.5510204081632668,0.44000000000000056,0.7325581395348837,4.0943445622220995,-4.915325114291929,0.19101123595505615,0.6506024096385542,0.10870243160153284
468,CUBICLES,55,23,78,8,cubicles,n,3,10,14,12,13,12,0.27,1.1761,0.14,1.1139,1.28,25,1.11538461538462,26,1.3636363636363602,4.42307692307692,4.8148148148148096,4.76,2.41379310344828,496,cubicles,-0.0581952751014313,2.1153846153846203,0.78125,0.4727272727272716,0.8109756097560976,2.5649493574615367,-3.3141860046725284,0.09302325581395347,0.7051282051282052,0.08556319182967799
469,CUBITS,53,27,90,3,cubits,n,1,1,16,8,16,8,0.31,1.2304,0.1,0.9542,1.0,12,0.9090909090909091,11,2.13636363636364,2.96296296296296,2.56666666666667,2.3333333333333304,2.89655172413793,397,cubits,-0.0829965567629052,1.9090909090909092,1.0,0.5238095238095238,0.8265895953757225,2.19722457733622,-2.843851742261272,0.03225806451612903,0.6625,0.0489389357871154
470,CUCKOO,54,10,73,3,cuckoo,n,3,11,151,108,117,88,2.96,2.1818,1.29,2.0374,1.8333333333333302,24,2.9047619047618998,21,3.28571428571429,3.15384615384615,4.18518518518519,4.14814814814815,2.80769230769231,606,cuckoo,-0.0250751535162735,3.9047619047618998,0.5454545454545464,0.25609756097561004,0.9071428571428573,4.48863636973214,-5.850833179272969,0.03947368421052632,0.84375,0.09817001853152904
471,CULTURE,54,42,80,24,culture,n,8,15,711,474,666,445,13.94,2.8525,5.65,2.6767,1.88461538461538,26,2.36,25,3.54545454545455,1.96153846153846,4.89655172413793,2.08,3.89285714285714,2013,culture,0.4036794406178039,3.36,0.5306122448979605,0.2976190476190476,0.67,6.100318952020063,-7.312259925995178,0.2307692307692308,0.5625,0.11207991877065251
472,CUPBOARDS,57,24,78,11,cupboards,n,1,2,24,21,23,20,0.47,1.3979,0.25,1.3424,1.07142857142857,28,1.2962962962963,27,2.1304347826087002,4.6551724137931,4.888888888888889,4.76,3.37931034482759,536,cupboards,-0.0460731877166979,2.2962962962963003,0.9333333333333346,0.4354838709677412,0.7941176470588235,3.0445224377234235,-3.8758199567641873,0.12359550561797752,0.7037037037037037,0.09529571078109161
473,CUPID,62,19,77,8,cupid,n,2,3,128,67,16,14,2.51,2.1106,0.8,1.8325,1.33333333333333,27,0.555555555555556,18,3.5,3.11538461538462,4.8,4.45833333333333,4.3448275862068995,457,cupid,-0.0685419538335747,1.5555555555555558,0.7500000000000019,0.6428571428571427,0.8373493975903614,2.7080502011022096,-3.1498829533812494,0.09411764705882353,0.7654320987654321,0.11151995515967206
474,CURFEW,58,23,91,5,curfew,n,3,3,234,139,208,129,4.59,2.3711,1.66,2.1461,1.24137931034483,29,1.11111111111111,27,2.31818181818182,2.96296296296296,4.75862068965517,1.93103448275862,2.27586206896552,1437,curfew,0.191907526848712,2.1111111111111103,0.8055555555555539,0.4736842105263161,0.8418079096045198,4.867534450455582,-5.614748852285802,0.052083333333333336,0.7160493827160493,0.08343221653592522
475,CURRICULUM,60,16,72,11,curriculum,n,1,5,70,47,65,44,1.37,1.8513,0.56,1.6812,1.1,30,1.4347826086956499,23,2.5416666666666696,3.26923076923077,4.67857142857143,2.67857142857143,3.2962962962963,1728,curriculum,0.278950748467182,2.4347826086956497,0.9090909090909092,0.4107142857142861,0.8301886792452831,3.80666248977032,-4.696519964576319,0.13253012048192772,0.7894736842105263,0.06259296254256268
476,CUSTODIAN,69,16,83,18,custodian,n,1,3,49,35,41,31,0.96,1.699,0.42,1.5563,1.8148148148148102,27,2.5,22,1.8181818181818201,4.57692307692308,4.851851851851849,3.92592592592593,3.26923076923077,753,custodian,0.017393153731098,3.5,0.5510204081632668,0.2857142857142857,0.8172043010752689,3.4657359027997265,-4.718498871295094,0.1782178217821782,0.8117647058823529,0.07753226826980199
477,CUTDOWN,38,52,95,5,cutdown,,0,0,20,12,16,10,0.39,1.3222,0.14,1.1139,1.29166666666667,24,1.8181818181818201,22,2.88888888888889,2.53571428571429,4.3448275862068995,2.2,1.96296296296296,180,cutdown,-0.17707748677839302,2.81818181818182,0.7741935483870948,0.3548387096774191,0.7,2.3978952727983707,-3.433987204485147,0.05,0.4222222222222222,0.024734495207742926
478,CUTS,44,43,86,7,cuts,n,61,124,583,466,541,433,11.43,2.7664,5.56,2.6693,2.43333333333333,30,2.95454545454545,22,3.875,3.73076923076923,4.851851851851849,4.142857142857141,1.8148148148148102,2147,cuts,0.5060217588316229,3.95454545454545,0.4109589041095896,0.2528735632183911,0.7222222222222222,6.073044534100405,-7.447910199396674,0.07526881720430108,0.5057471264367817,0.1031065387744019
479,DAFFODILS,50,19,70,3,daffodils,n,1,2,32,20,25,18,0.63,1.5185,0.24,1.3222,1.07692307692308,26,0.5,22,2.8636363636363598,4.57692307692308,4.59259259259259,4.925925925925929,4.42307692307692,379,daffodils,-0.0892031781112463,1.5,0.928571428571426,0.6666666666666666,0.8450704225352113,2.9444389791664403,-3.349904087274605,0.0410958904109589,0.7246376811594203,0.09026387154547504
480,DAFFY,65,18,85,6,daffy,,0,0,77,32,27,23,1.51,1.8921,0.38,1.5185,1.38461538461538,26,2.23529411764706,17,2.90909090909091,2.16,3.9,2.4166666666666696,3.1724137931034497,532,daffy,-0.0475128054007544,3.23529411764706,0.7222222222222247,0.30909090909090897,0.8620689655172413,3.1780538303479458,-4.352173671524201,0.06593406593406594,0.7831325301204819,0.06977734106946737
481,DAGGERS,52,23,80,8,daggers,n,2,4,61,26,44,22,1.2,1.7924,0.31,1.4314,1.51851851851852,27,2.48148148148148,27,4.45833333333333,4.481481481481481,4.5333333333333306,4.5,1.8620689655172398,508,daggers,-0.0544247429947937,3.48148148148148,0.658536585365853,0.2872340425531916,0.8098159509202454,3.1354942159291497,-4.382952132194824,0.09090909090909093,0.6933333333333334,0.10630325921168832
482,DAINTY,46,17,68,2,dainty,n,5,18,61,42,53,39,1.2,1.7924,0.5,1.6335,1.41379310344828,29,3.3703703703703702,27,2.3636363636363598,2.1111111111111103,4.68965517241379,2.96551724137931,3.9310344827586206,363,dainty,-0.0937961819172863,4.37037037037037,0.7073170731707297,0.2288135593220339,0.8571428571428571,3.688879454113936,-5.163727212575272,0.028571428571428567,0.7301587301587301,0.11729949823940325
483,DALMATIANS,56,14,78,1,dalmatians,n,2,4,10,8,2,2,0.2,1.0414,0.1,0.9542,1.07407407407407,27,0.32142857142857106,28,3.8333333333333304,4.851851851851849,4.63333333333333,4.77777777777778,4.17241379310345,350,dalmatians,-0.100465498670408,1.321428571428571,0.9310344827586242,0.756756756756757,0.8993288590604027,1.0986122886681098,-1.37732569113713,0.012658227848101266,0.8,0.04809617361902341
484,DAMNED,57,20,84,4,damned,n,5,29,898,639,781,584,17.61,2.9538,7.62,2.8062,1.72413793103448,29,1.8636363636363602,22,4.08333333333333,1.7307692307692302,4.60714285714286,2.0,1.3703703703703702,1071,damned,0.0941246261696677,2.86363636363636,0.580000000000001,0.3492063492063497,0.8545454545454545,6.371611847231858,-7.423704120265072,0.045454545454545456,0.7402597402597403,0.17855444763600445
485,DANK,57,19,75,9,dank,s,1,2,28,21,18,17,0.55,1.4624,0.25,1.3424,1.3478260869565202,23,1.8,20,2.5416666666666696,2.3846153846153797,3.60714285714286,2.42857142857143,2.07407407407407,459,dank,-0.06840385054622901,2.8,0.7419354838709687,0.35714285714285715,0.825,2.8903717578961645,-3.9199911750773233,0.10714285714285714,0.75,0.09127525768814143
486,DAREDEVIL,60,10,75,6,daredevil,n,2,8,33,21,16,14,0.65,1.5315,0.25,1.3424,1.33333333333333,27,2.37931034482759,29,4.625,3.1785714285714306,4.83333333333333,3.6785714285714306,3.20689655172414,515,daredevil,-0.051602203180379995,3.37931034482759,0.7500000000000019,0.29591836734693844,0.8940397350993378,2.7080502011022096,-3.9257218497863082,0.07407407407407407,0.8571428571428571,0.0955481843694166
487,DASHBOARD,57,15,61,19,dashboard,n,2,5,50,45,49,44,0.98,1.7076,0.54,1.6628,1.8148148148148102,27,0.8965517241379308,29,1.96,4.321428571428569,4.93333333333333,4.64285714285714,3.10344827586207,813,dashboard,0.031510071571367,1.8965517241379308,0.5510204081632668,0.5272727272727272,0.7763157894736842,3.80666248977032,-4.446699845016316,0.2375,0.7916666666666666,0.08318555415207927
488,DATE,55,25,77,10,date,n,13,22,7218,2987,7068,2947,141.53,3.8585,35.61,3.4754,2.96428571428571,28,3.5416666666666696,24,3.6666666666666696,3.60714285714286,5.0,3.2,3.5862068965517206,2160,date,0.538516519527684,4.54166666666667,0.3373493975903619,0.220183486238532,0.7904191616766467,7.988882253309227,-9.502176305190426,0.11494252873563217,0.6875,0.0663636064559306
489,DAUNTING,50,34,80,10,daunting,v,2,10,16,16,15,15,0.31,1.2304,0.19,1.2304,1.17241379310345,29,3.04,25,3.5,1.61538461538462,4.62068965517241,1.8620689655172398,2.31034482758621,1597,daunting,0.237907493968731,4.04,0.8529411764705871,0.2475247524752475,0.7471264367816092,2.772588722239781,-4.168833414212839,0.1111111111111111,0.5952380952380952,0.13320116558916892
490,DAYBREAK,41,30,75,6,daybreak,n,1,12,70,55,61,51,1.37,1.8513,0.66,1.7482,1.12,25,1.7692307692307698,26,3.6363636363636402,4.0,4.85714285714286,4.28,3.89655172413793,999,daybreak,0.0768217203965124,2.76923076923077,0.8928571428571428,0.36111111111111105,0.7631578947368421,3.951243718581428,-4.969813299576002,0.07407407407407407,0.5774647887323944,0.11492883835126279
491,DEADBEAT,51,15,66,9,deadbeat,n,1,2,88,67,71,58,1.73,1.9494,0.8,1.8325,1.07142857142857,28,2.375,24,2.5833333333333304,2.78571428571429,4.79310344827586,2.96666666666667,1.5,414,deadbeat,-0.0781406572108633,3.375,0.9333333333333346,0.2962962962962963,0.8297872340425532,4.07753744390572,-5.293932768230213,0.12,0.7727272727272727,0.09324206001162264
492,DEARBORN,41,23,72,3,dearborn,,0,0,29,15,0,0,0.57,1.4771,0.18,1.2041,1.06666666666667,15,0.153846153846154,13,2.45454545454545,3.5384615384615397,3.2592592592592595,1.92,3.18518518518519,790,dearborn,0.027035038602557,1.153846153846154,0.9374999999999972,0.8666666666666666,0.8129496402877698,0.0,-0.14310084364067344,0.04,0.640625,0.062314119206129066
493,DEARIE,40,25,69,3,dearie,n,1,7,95,52,90,49,1.86,1.9823,0.62,1.7243,1.11111111111111,18,2.9375,16,2.40909090909091,2.15384615384615,3.48275862068966,1.44,3.8275862068965503,186,dearie,-0.17236626152783402,3.9375,0.9000000000000009,0.25396825396825395,0.7956204379562044,3.912023005428147,-5.2825690095798965,0.04166666666666666,0.6153846153846154,0.07176881993586037
494,DEBATING,50,39,82,13,debating,v,4,12,83,75,81,74,1.63,1.9243,0.89,1.8808,1.42307692307692,26,2.3846153846153797,26,3.7272727272727297,2.53846153846154,4.89285714285714,2.68,2.89655172413793,1740,debating,0.284701644845284,3.38461538461538,0.7027027027027042,0.29545454545454586,0.7173913043478259,4.31748811353631,-5.5367283899930335,0.1368421052631579,0.5617977528089888,0.12422501899211716
495,DEBT,66,21,81,13,debt,n,3,3,725,489,720,487,14.22,2.8609,5.83,2.6902,1.5,28,1.9259259259259298,27,3.0,2.96551724137931,4.92307692307692,2.76,1.48275862068966,2065,debt,0.43853450672791205,2.92592592592593,0.6666666666666666,0.3417721518987337,0.8121546961325967,6.190315405853148,-7.2639263923158435,0.13829787234042554,0.7586206896551724,0.09138107995830286
496,DECKS,34,36,67,8,decks,n,7,20,130,99,128,98,2.55,2.1173,1.18,2.0,2.3333333333333304,27,1.27272727272727,22,2.1052631578947403,4.357142857142859,4.96428571428571,4.0,3.25,1152,decks,0.117846899893273,2.2727272727272703,0.4285714285714292,0.44000000000000056,0.696551724137931,4.59511985013459,-5.416100402204418,0.10666666666666667,0.4857142857142857,0.07799881271721384
497,DECREED,53,32,89,4,decreed,v,3,7,26,23,26,23,0.51,1.4314,0.27,1.3802,1.23076923076923,26,2.52173913043478,23,3.22222222222222,2.25,4.37931034482759,1.56,2.85714285714286,1176,decreed,0.123354331764782,3.5217391304347796,0.8125000000000006,0.2839506172839508,0.797752808988764,3.1780538303479458,-4.437008769091234,0.04301075268817205,0.6235294117647059,0.08811824740648293
498,DEER,55,25,85,3,deer,n,1,2,444,245,383,215,8.71,2.6484,2.92,2.3909,1.14285714285714,28,0.444444444444444,27,2.95652173913043,4.82142857142857,4.888888888888889,4.92,3.79310344827586,1272,deer,0.150767945992391,1.4444444444444442,0.8750000000000022,0.6923076923076925,0.8333333333333334,5.375278407684165,-5.7430031878094825,0.03409090909090909,0.6875,0.12278225244568951
499,DEFACING,44,36,85,4,defacing,v,1,3,10,10,9,9,0.2,1.0414,0.12,1.0414,1.22222222222222,27,2.2608695652173902,23,3.8333333333333304,2.89285714285714,4.48275862068965,3.1,1.6551724137931,210,defacing,-0.16082285116281303,3.2608695652173902,0.8181818181818196,0.3066666666666668,0.7633136094674556,2.302585092994046,-3.4845789906012063,0.0449438202247191,0.55,0.06768332336719375
500,DEFENCELESS,46,31,83,2,defenceless,s,3,8,28,24,27,24,0.55,1.4624,0.29,1.3979,1.25,20,3.38461538461538,26,3.0416666666666696,2.0,4.23333333333333,2.21428571428571,2.03448275862069,406,defenceless,-0.0806531532129402,4.384615384615381,0.8,0.2280701754385968,0.7962962962962963,3.218875824868201,-4.696977735241211,0.023529411764705882,0.5974025974025974,0.09959357646945657
501,DEFLATE,36,44,86,2,deflate,v,6,7,13,11,12,10,0.25,1.1461,0.13,1.0792,1.55555555555556,27,2.10344827586207,29,1.9166666666666698,2.6296296296296298,4.63333333333333,3.6785714285714306,2.20689655172414,268,deflate,-0.137337562530305,3.10344827586207,0.642857142857141,0.3222222222222221,0.7261904761904762,2.3978952727983707,-3.530409113142162,0.022727272727272728,0.45,0.08704308651590907
502,DEFRAUDED,45,32,81,9,defrauded,v,1,15,13,12,11,11,0.25,1.1461,0.14,1.1139,1.14814814814815,27,1.8095238095238102,21,3.72222222222222,2.28571428571429,4.44827586206897,1.8,1.55172413793103,940,defrauded,0.0619377343447832,2.80952380952381,0.8709677419354825,0.35593220338983045,0.7544910179640718,2.4849066497880004,-3.517921655970297,0.1,0.5844155844155844,0.05277065457587444
503,DELAWARE,56,24,83,5,delaware,n,5,9,94,61,0,0,1.84,1.9777,0.73,1.7924,1.3076923076923102,26,0.0,25,2.18181818181818,4.807692307692309,4.86206896551724,3.8,3.3448275862069,1635,delaware,0.250464157837874,1.0,0.7647058823529399,1.0,0.8273809523809523,0.0,0.0,0.05681818181818181,0.7,0.10921929346641505
504,DELIGHTFUL,52,43,93,9,delightful,s,1,2,469,377,414,340,9.2,2.6721,4.49,2.5775,1.1923076923076898,26,3.44444444444444,27,4.09090909090909,1.7692307692307698,4.82758620689655,2.12,4.82758620689655,1281,delightful,0.15296163265258497,4.44444444444444,0.8387096774193564,0.22500000000000026,0.7360406091370558,5.831882477283517,-7.323537354061233,0.08823529411764706,0.5473684210526316,0.12134127109186914
505,DELINQUENTS,56,17,68,14,delinquents,n,1,2,59,47,56,46,1.16,1.7782,0.56,1.6812,1.64285714285714,28,2.61904761904762,21,4.045454545454549,2.69230769230769,4.77777777777778,3.03703703703704,1.65384615384615,675,delinquents,-0.00907918029508643,3.6190476190476204,0.6086956521739141,0.2763157894736841,0.8,3.8501476017100575,-5.136358504272967,0.17073170731707318,0.7671232876712328,0.07454602427397958
506,DELIRIOUS,48,25,75,7,delirious,s,2,7,135,104,116,98,2.65,2.1335,1.24,2.0212,1.23076923076923,26,3.56521739130435,23,3.36,2.03846153846154,4.78571428571429,2.53333333333333,2.55172413793103,503,delirious,-0.0560381187682077,4.565217391304349,0.8125000000000006,0.21904761904761896,0.7935483870967742,4.59511985013459,-6.113585984362963,0.08536585365853659,0.6575342465753424,0.13755970362396144
507,DELIVERANCE,63,26,85,9,deliverance,n,1,4,30,28,13,13,0.59,1.4914,0.33,1.4624,1.5,28,1.6296296296296298,27,3.65217391304348,1.85714285714286,4.33333333333333,1.92,3.20689655172414,511,deliverance,-0.0536641165308364,2.6296296296296298,0.6666666666666666,0.38028169014084506,0.8087431693989071,2.6390573296152584,-3.6059003406522447,0.09574468085106384,0.7078651685393258,0.11736140351111689
508,DELTA,49,17,71,7,delta,n,3,3,425,153,71,30,8.33,2.6294,1.82,2.1875,2.2592592592592595,27,1.05,20,2.95454545454545,3.42307692307692,4.62068965517241,3.125,3.3214285714285694,1831,delta,0.318880587454969,2.05,0.44262295081967207,0.4878048780487805,0.8333333333333334,3.4339872044851463,-4.151826997635463,0.08974358974358974,0.7424242424242424,0.09314510093454977
509,DELUDED,40,33,74,7,deluded,v,1,4,62,55,58,52,1.22,1.7993,0.66,1.7482,1.25925925925926,27,1.85714285714286,21,3.1666666666666696,1.6666666666666698,4.51724137931035,1.8,1.82142857142857,441,deluded,-0.0718758278757878,2.8571428571428603,0.7941176470588229,0.3499999999999996,0.7402597402597403,3.970291913552122,-5.0201140380508,0.08641975308641975,0.547945205479452,0.12161148296438616
510,DEMEANOR,47,17,63,11,demeanor,n,1,6,54,43,48,42,1.06,1.7404,0.51,1.6435,1.07142857142857,28,1.84615384615385,26,2.81818181818182,2.20689655172414,4.481481481481481,2.2,3.1724137931034497,1261,demeanor,0.147007886159775,2.8461538461538503,0.9333333333333346,0.3513513513513509,0.7971014492753623,3.7612001156935615,-4.80716867087625,0.14864864864864866,0.734375,0.12190367493163852
511,DEMO,52,19,69,6,demo,n,2,7,168,87,158,84,3.29,2.2279,1.04,1.9445,1.75,28,2.5,24,2.68,3.11111111111111,4.89655172413793,2.3333333333333304,3.35714285714286,1562,demo,0.228242950786239,3.5,0.5714285714285714,0.2857142857142857,0.8287671232876712,4.442651256490317,-5.695414224985684,0.08,0.7323943661971831,0.0500744420041882
512,DEMONS,47,21,66,7,demons,n,3,11,683,307,612,293,13.39,2.8351,3.66,2.4886,1.7307692307692302,26,1.85185185185185,27,4.545454545454549,2.84615384615385,4.75,3.96,1.44827586206897,1308,demons,0.159873167189703,2.8518518518518503,0.5777777777777781,0.3506493506493508,0.8014184397163121,5.683579767338681,-6.731548323188036,0.0958904109589041,0.6911764705882353,0.13840232062215352
513,DEMURE,53,30,82,11,demure,s,1,3,20,18,19,18,0.39,1.3222,0.21,1.2788,1.125,24,2.3333333333333304,18,1.8636363636363602,1.8,3.86666666666667,2.3333333333333304,3.2758620689655205,475,demure,-0.0632798719844878,3.3333333333333304,0.8888888888888888,0.3000000000000003,0.7670454545454546,2.9444389791664403,-4.148411783492375,0.11827956989247312,0.6385542168674698,0.1089114043504042
